key,text,description
ui.runtime_status.title,월드 상태,런타임 상태 HUD
ui.runtime_status.movement,이동,런타임 상태 HUD
ui.runtime_status.interaction,상호작용,런타임 상태 HUD
ui.runtime_status.permission,권한,런타임 상태 HUD
ui.runtime_status.save,저장,런타임 상태 HUD
ui.runtime_status.slowed,느려짐,런타임 상태 HUD
ui.runtime_status.moving,이동 중,런타임 상태 HUD
ui.runtime_status.explore,탐험,런타임 상태 HUD
ui.runtime_status.none,없음,런타임 상태 HUD
ui.runtime_status.permission.local,로컬,런타임 상태 HUD
ui.runtime_status.permission.owner,소유자,런타임 상태 HUD
ui.runtime_status.permission.builder,빌더,런타임 상태 HUD
ui.runtime_status.permission.visitor,방문자,런타임 상태 HUD
ui.runtime_status.save.local,로컬 저장,런타임 상태 HUD
ui.runtime_status.save.attention,확인 필요,런타임 상태 HUD
ui.runtime_status.save.saved,저장됨,런타임 상태 HUD
ui.runtime_status.save.connecting,연결 중,런타임 상태 HUD
ui.runtime_status.save.saving,저장 중,런타임 상태 HUD
ui.runtime_status.world_not_ready,월드를 준비하고 있습니다.,런타임 상태 HUD
ui.account.login.title,로그인,계정 인증
ui.account.login.prompt,이메일과 비밀번호를 입력하세요.,계정 인증
ui.account.login.submit,로그인,계정 인증
ui.account.create.open,계정 만들기,계정 진입
ui.account.create.title,계정 만들기,계정 진입
ui.account.create.prompt,이메일과 표시 이름 및 10자 이상의 비밀번호를 입력하세요.,계정 진입
ui.account.create.create,계정 만들기,계정 진입
ui.account.create.display_name_placeholder,게임에서 사용할 이름,계정 진입
ui.account.create.password_placeholder,10자 이상의 비밀번호,계정 진입
ui.account.field.email,이메일,계정 인증
ui.account.field.email_placeholder,name@example.com,계정 인증
ui.account.field.display_name,표시 이름,계정 인증
ui.account.field.password,비밀번호,계정 인증
ui.account.field.password_placeholder,비밀번호를 입력하세요,계정 인증
ui.account.back,뒤로,계정 진입
ui.account.character_create.title,나만의 캐릭터 만들기,계정 진입
ui.account.character_create.prompt,원하는 파츠를 골라 나만의 캐릭터를 완성하세요.,계정 진입
ui.account.character_create.create,생성,계정 진입
ui.account.character_create.customize,외형 선택,계정 진입
ui.account.character_create.step,첫 모험 · 캐릭터 설정,계정 진입
ui.account.character_create.name,캐릭터 이름,계정 진입
ui.account.character_create.name_placeholder,기억에 남을 이름을 입력하세요,계정 진입
ui.account.character_create.appearance_hint,파츠를 누르면 캐릭터가 바로 착용합니다.,계정 진입
ui.account.character_select.title,캐릭터 선택,계정 진입
ui.account.character_select.prompt,모험을 함께할 캐릭터를 선택하세요.,계정 진입
ui.account.character_select.account,{0},계정 진입
ui.account.character_select.selected,선택됨,계정 진입
ui.account.character_select.continue,계속,계정 진입
ui.account.character_select.appearance_count,착용 파츠 {0}개,계정 진입
ui.account.character_select.current_appearance,현재 착용 외형,계정 진입
ui.account.character_select.entry_hint,선택한 외형과 프로필로 월드에 입장합니다.,계정 진입
ui.account.character_select.continue_selected,이 캐릭터로 계속,계정 진입
ui.account.character_select.logout,로그아웃,계정 진입
ui.account.character_select.create_new,새 캐릭터 만들기,계정 진입
ui.account.world_create.open,월드 만들기,계정 진입
ui.account.world_create.title,월드 만들기,계정 진입
ui.account.world_create.prompt,새 월드의 이름을 입력하세요.,계정 진입
ui.account.world_create.create,생성,계정 진입
ui.account.world_create.name,월드 이름,계정 진입
ui.account.world_create.name_placeholder,새로운 세계의 이름,계정 진입
ui.account.world_select.title,월드 선택,계정 진입
ui.account.world_select.prompt,입장할 세계를 선택하세요.,계정 진입
ui.account.world_select.selected_character,선택한 캐릭터: {0},계정 진입
ui.account.world_select.selected,선택됨,계정 진입
ui.account.world_select.continue,계속,계정 진입
ui.account.appearance_default,외형: 기본 프로필,계정 진입
ui.account.appearance,외형: {0},계정 진입
